23:14:50.977 > Calibrating baro...

23:14:53.938 > Calibration done!

23:14:53.939 > Calibrating sensors

23:14:53.939 > Couldn't open log file

23:14:53.939 > Couldn't open log file

23:14:53.939 > Starting Sensor Calibration...

23:14:53.940 > 

23:14:53.940 > Internal calibration complete!

23:14:53.940 > Starting external gyroscope offset calibration...

23:14:56.900 > Couldn't open log file

23:14:59.864 > Sensors calibrated

23:14:59.864 > Couldn't open log file

23:14:59.864 > Using default angles

23:14:59.864 > Couldn't open log file

23:14:59.864 > rpy init: 0.00, 0.00, 0.00

23:14:59.866 > Couldn't open log file

23:15:06.039 > >alt:0.091,vel:0.017,accelAlt:0.099,accelVel:0.034,baroAlt:-0.069,deviation:-0.168;

23:15:06.042 > >alt:0.090,vel:0.014,accelAlt:0.091,accelVel:0.016,baroAlt:0.069,deviation:-0.022;

23:15:06.051 > >alt:0.089,vel:0.011,accelAlt:0.090,accelVel:0.013,baroAlt:0.069,deviation:-0.021;

23:15:06.054 > >alt:0.074,vel:-0.020,accelAlt:0.089,accelVel:0.010,baroAlt:-0.217,deviation:-0.306;

23:15:06.062 > >alt:0.059,vel:-0.050,accelAlt:0.074,accelVel:-0.021,baroAlt:-0.217,deviation:-0.290;

23:15:06.068 > >alt:0.045,vel:-0.079,accelAlt:0.059,accelVel:-0.051,baroAlt:-0.217,deviation:-0.276;

23:15:06.074 > >alt:0.052,vel:-0.065,accelAlt:0.045,accelVel:-0.080,baroAlt:0.188,deviation:0.143;

23:15:06.074 > >alt:0.058,vel:-0.053,accelAlt:0.051,accelVel:-0.066,baroAlt:0.188,deviation:0.136;

23:15:06.085 > >alt:0.055,vel:-0.060,accelAlt:0.058,accelVel:-0.054,baroAlt:-0.011,deviation:-0.069;

23:15:06.087 > >alt:0.051,vel:-0.068,accelAlt:0.054,accelVel:-0.061,baroAlt:-0.011,deviation:-0.065;

23:15:06.097 > >alt:0.054,vel:-0.061,accelAlt:0.051,accelVel:-0.069,baroAlt:0.124,deviation:0.074;

23:15:06.102 > >alt:0.057,vel:-0.056,accelAlt:0.054,accelVel:-0.063,baroAlt:0.124,deviation:0.070;

23:15:06.107 > >alt:0.060,vel:-0.050,accelAlt:0.057,accelVel:-0.056,baroAlt:0.124,deviation:0.067;

23:15:06.110 > >alt:0.068,vel:-0.035,accelAlt:0.060,accelVel:-0.050,baroAlt:0.217,deviation:0.157;

